Age,Age_Group,Gender,Education_Level,Preferred_Study_Time,Learning_Goal,Language_Preference,Prefers_Diagrams,Likes_Listening,Enjoys_Reading,HandsOn_Activities,Remembers_Pictures,Prefers_Lectures,Writes_Notes,Builds_Models,Watches_Videos,Participates_Discussions,Reads_Textbooks,Does_Experiments,Draws_Mindmaps,Listens_MusicWhileStudying,Moves_WhileLearning,Style
16,Teen,Male,Postgraduate,Morning,Exams,Other,2,3,2,5,5,5,5,4,1,4,4,2,5,5,2,Auditory
7,Child,Other,Undergraduate,Afternoon,Career Growth,Hindi,2,2,1,3,2,2,2,4,1,2,1,3,1,1,4,Kinesthetic
16,Teen,Other,Postgraduate,Afternoon,Career Growth,English,2,3,3,4,4,4,4,5,4,2,3,5,2,4,2,Read/Write
28,Young Adult,Female,PhD,Night,Career Growth,English,1,5,4,4,2,5,5,2,3,2,5,2,2,2,5,Read/Write
15,Teen,Other,High School,Afternoon,Career Growth,Other,2,3,3,2,5,5,1,1,3,5,1,4,1,4,2,Auditory
38,Adult 30+,Male,Primary School,Afternoon,Exams,Other,5,2,1,2,5,4,3,2,4,1,2,1,4,1,1,Visual
33,Adult 30+,Female,Undergraduate,Night,Career Growth,Other,3,4,3,1,2,5,1,1,2,5,1,3,1,3,1,Auditory
40,Adult 30+,Male,PhD,Afternoon,Skill Development,English,2,5,4,4,2,4,2,2,4,5,2,3,3,5,3,Auditory
25,Young Adult,Other,High School,Evening,Exams,Gujarati,1,4,2,2,3,4,5,5,3,3,3,1,2,5,5,Auditory
14,Teen,Male,Undergraduate,Afternoon,Hobby,English,1,5,3,5,3,4,1,2,1,5,5,3,1,4,2,Auditory
28,Young Adult,Other,Postgraduate,Morning,Exams,Gujarati,1,4,3,1,1,5,1,3,4,3,3,1,5,5,2,Auditory
16,Teen,Female,PhD,Afternoon,Skill Development,English,1,3,2,1,3,3,3,3,2,3,2,1,1,5,5,Auditory
16,Teen,Other,Undergraduate,Evening,Exams,Hindi,3,3,3,5,2,2,1,5,3,3,3,4,2,2,4,Kinesthetic
7,Child,Female,Primary School,Afternoon,Skill Development,Other,1,5,2,5,5,2,2,5,2,5,1,5,5,3,3,Kinesthetic
11,Child,Male,Primary School,Morning,Skill Development,Other,5,5,3,5,4,2,2,1,5,3,3,3,5,2,2,Visual
27,Young Adult,Other,Undergraduate,Night,Hobby,Gujarati,5,3,1,2,5,3,2,1,4,1,4,4,5,2,5,Visual
29,Young Adult,Other,High School,Night,Hobby,Hindi,3,5,4,2,1,5,4,4,2,3,2,3,3,5,4,Auditory
15,Teen,Male,Primary School,Evening,Career Growth,English,4,4,1,4,5,4,5,5,5,4,3,1,5,5,2,Visual
29,Young Adult,Other,Postgraduate,Morning,Exams,Gujarati,2,3,4,1,2,5,1,5,1,3,5,2,1,4,2,Auditory
18,Teen,Other,High School,Morning,Hobby,Other,2,5,2,1,4,5,1,1,1,4,2,2,2,5,4,Auditory
14,Teen,Male,PhD,Afternoon,Career Growth,English,1,1,4,3,1,2,4,2,2,1,5,4,1,3,2,Read/Write
24,Young Adult,Male,High School,Night,Skill Development,Hindi,3,4,5,4,1,2,5,1,2,2,4,3,1,2,2,Read/Write
15,Teen,Other,High School,Evening,Career Growth,Gujarati,5,3,1,1,5,3,5,1,4,4,3,1,4,5,2,Visual
13,Teen,Male,Primary School,Evening,Career Growth,Hindi,4,3,4,2,3,5,2,2,1,5,2,2,2,3,3,Auditory
10,Child,Male,PhD,Night,Exams,English,3,1,3,2,5,5,2,2,5,1,5,1,5,2,2,Visual
27,Young Adult,Other,Postgraduate,Morning,Hobby,Other,1,1,5,2,5,1,5,2,3,1,4,1,2,3,3,Read/Write
26,Young Adult,Female,Postgraduate,Afternoon,Exams,English,2,5,2,5,2,5,2,1,1,3,3,1,2,4,1,Auditory
21,Young Adult,Female,Postgraduate,Morning,Skill Development,Hindi,5,5,1,5,4,3,1,2,3,1,2,2,4,2,2,Visual
31,Adult 30+,Other,High School,Night,Hobby,Other,3,1,5,5,3,2,4,1,4,3,4,1,3,1,1,Read/Write
16,Teen,Female,Primary School,Afternoon,Career Growth,English,1,4,5,2,5,2,5,2,2,2,3,2,4,1,3,Read/Write
16,Teen,Other,High School,Night,Exams,English,1,1,3,1,1,1,5,3,2,4,4,2,1,1,2,Read/Write
28,Young Adult,Other,PhD,Night,Hobby,Hindi,1,3,5,1,2,2,5,2,2,2,5,3,1,2,2,Read/Write
27,Young Adult,Male,PhD,Afternoon,Exams,English,4,1,2,3,3,1,2,5,1,3,2,4,2,3,4,Kinesthetic
37,Adult 30+,Female,Primary School,Morning,Exams,Other,5,5,3,5,5,1,1,3,3,1,3,1,4,2,1,Visual
32,Adult 30+,Male,PhD,Afternoon,Career Growth,Other,1,1,2,5,1,1,2,3,2,5,1,5,3,2,5,Kinesthetic
19,Teen,Other,PhD,Afternoon,Career Growth,Hindi,3,4,2,1,5,4,2,3,4,2,1,4,4,3,3,Visual
10,Child,Male,Primary School,Evening,Career Growth,English,5,3,1,3,4,3,3,2,3,4,1,1,3,3,3,Visual
24,Young Adult,Other,Undergraduate,Evening,Career Growth,Hindi,2,1,4,4,2,3,5,5,2,3,1,5,2,1,5,Kinesthetic
11,Child,Male,High School,Night,Hobby,English,1,2,5,2,3,1,3,1,1,3,4,4,3,1,1,Read/Write
32,Adult 30+,Male,Postgraduate,Night,Exams,English,5,1,3,1,4,4,5,1,5,3,4,5,1,1,4,Read/Write
11,Child,Female,High School,Morning,Career Growth,Hindi,3,3,2,3,3,3,3,4,4,1,1,5,5,2,5,Kinesthetic
20,Young Adult,Other,High School,Afternoon,Skill Development,Gujarati,3,5,4,3,2,1,5,2,1,2,4,3,3,2,2,Read/Write
35,Adult 30+,Female,Undergraduate,Evening,Hobby,Hindi,1,3,4,2,2,3,5,1,5,2,4,5,4,4,2,Read/Write
27,Young Adult,Female,High School,Afternoon,Skill Development,English,5,2,3,5,4,3,2,2,4,2,1,2,3,2,2,Visual
15,Teen,Male,Undergraduate,Evening,Skill Development,Hindi,5,4,2,2,4,1,2,2,5,2,1,4,3,3,2,Visual
38,Adult 30+,Other,Postgraduate,Afternoon,Career Growth,Hindi,1,4,2,5,1,4,1,5,2,1,4,4,1,2,4,Kinesthetic
37,Adult 30+,Female,Primary School,Evening,Exams,Other,4,3,1,5,3,4,4,2,5,2,1,3,5,4,2,Visual
34,Adult 30+,Male,PhD,Night,Career Growth,Other,3,4,1,2,3,5,1,2,2,4,4,2,3,5,2,Auditory
32,Adult 30+,Other,High School,Morning,Skill Development,English,3,5,4,5,1,1,4,3,4,1,5,3,1,2,2,Read/Write
9,Child,Female,Primary School,Evening,Skill Development,English,2,3,1,3,2,3,2,5,3,1,2,3,5,2,4,Kinesthetic
32,Adult 30+,Male,Undergraduate,Afternoon,Hobby,Other,5,2,1,5,4,4,2,1,3,5,5,4,5,4,3,Visual
35,Adult 30+,Other,Primary School,Night,Hobby,Gujarati,3,2,2,2,4,5,1,1,5,1,1,1,4,2,4,Visual
11,Child,Female,Postgraduate,Night,Skill Development,English,2,1,4,1,1,3,5,4,3,3,5,3,1,1,2,Read/Write
23,Young Adult,Male,High School,Evening,Hobby,Gujarati,5,3,2,5,1,3,3,2,2,4,2,3,3,4,1,Auditory
22,Young Adult,Female,Postgraduate,Evening,Skill Development,Other,1,3,3,4,4,1,5,1,5,3,5,1,2,1,4,Read/Write
26,Young Adult,Male,Primary School,Night,Skill Development,Other,5,1,3,3,4,1,2,1,5,1,3,3,4,3,1,Visual
24,Young Adult,Female,Undergraduate,Night,Hobby,Hindi,1,3,4,5,1,3,2,4,1,4,2,5,2,1,4,Kinesthetic
23,Young Adult,Female,Primary School,Night,Hobby,English,4,3,1,3,3,1,2,5,4,2,1,1,5,3,3,Visual
31,Adult 30+,Female,High School,Night,Hobby,Hindi,1,1,5,3,5,5,2,4,5,2,3,4,4,1,5,Kinesthetic
33,Adult 30+,Female,Undergraduate,Night,Career Growth,Hindi,4,1,3,2,5,1,1,1,4,5,2,2,4,3,1,Visual
20,Young Adult,Other,High School,Night,Skill Development,Hindi,3,3,4,2,1,2,3,3,2,1,4,3,2,1,2,Read/Write
24,Young Adult,Other,High School,Morning,Hobby,Gujarati,3,5,4,3,3,2,4,4,4,5,2,2,5,5,2,Visual
33,Adult 30+,Female,Undergraduate,Morning,Skill Development,English,1,3,2,3,5,5,2,5,2,4,4,1,3,5,1,Auditory
22,Young Adult,Male,Undergraduate,Evening,Hobby,Gujarati,1,1,3,2,5,5,4,4,4,2,5,2,5,1,3,Read/Write
18,Teen,Other,High School,Morning,Exams,Other,2,4,5,1,5,4,3,1,1,4,4,3,2,4,5,Auditory
36,Adult 30+,Male,Primary School,Evening,Skill Development,Other,1,4,1,1,3,4,2,1,2,5,4,5,1,3,5,Auditory
18,Teen,Other,Undergraduate,Evening,Hobby,Hindi,2,2,5,1,3,1,3,1,2,4,4,2,2,1,5,Read/Write
7,Child,Male,Primary School,Morning,Hobby,Hindi,1,2,2,4,3,4,4,4,5,2,2,3,5,2,3,Kinesthetic
35,Adult 30+,Other,PhD,Afternoon,Exams,English,1,2,5,4,4,3,4,4,2,3,4,5,5,2,4,Kinesthetic
36,Adult 30+,Female,Undergraduate,Evening,Hobby,Gujarati,5,5,2,1,4,5,1,4,4,4,3,2,4,3,2,Visual
20,Young Adult,Other,Postgraduate,Night,Exams,English,4,5,2,1,5,3,2,2,3,4,3,2,3,4,1,Visual
7,Child,Other,Undergraduate,Morning,Hobby,English,3,5,1,4,1,4,3,3,1,5,2,1,1,4,2,Auditory
39,Adult 30+,Other,PhD,Night,Exams,Hindi,2,2,3,5,1,1,4,5,4,3,4,3,2,3,3,Read/Write
40,Adult 30+,Other,High School,Morning,Career Growth,Gujarati,3,3,2,4,5,3,3,3,1,1,1,5,1,3,4,Kinesthetic
7,Child,Female,Primary School,Night,Exams,Other,2,1,1,4,2,1,1,4,3,2,1,4,5,4,5,Kinesthetic
37,Adult 30+,Other,Undergraduate,Morning,Hobby,Hindi,5,1,5,5,1,1,5,5,1,2,3,4,2,2,5,Kinesthetic
23,Young Adult,Female,Primary School,Evening,Skill Development,English,1,2,2,5,5,1,1,5,2,2,1,4,3,1,5,Kinesthetic
32,Adult 30+,Other,Undergraduate,Night,Career Growth,English,3,4,2,2,2,4,1,3,5,5,1,1,5,4,2,Auditory
13,Teen,Female,Postgraduate,Morning,Career Growth,Hindi,5,1,5,5,1,2,5,1,3,2,5,1,2,1,5,Read/Write
34,Adult 30+,Other,Undergraduate,Morning,Skill Development,Gujarati,3,2,2,4,5,1,1,4,2,3,3,4,3,1,5,Kinesthetic
26,Young Adult,Female,Postgraduate,Evening,Exams,Hindi,5,2,1,4,1,1,4,5,1,2,3,5,2,5,3,Kinesthetic
34,Adult 30+,Male,Postgraduate,Afternoon,Career Growth,Other,3,1,3,1,4,4,3,1,5,1,5,1,1,4,2,Read/Write
36,Adult 30+,Male,High School,Evening,Exams,Gujarati,2,2,4,4,3,2,3,1,2,1,5,3,1,3,4,Read/Write
19,Teen,Female,Undergraduate,Afternoon,Skill Development,English,1,4,4,5,1,5,2,1,3,4,4,3,1,4,3,Auditory
28,Young Adult,Male,Primary School,Afternoon,Career Growth,English,2,4,2,3,1,3,5,2,2,4,1,3,2,4,1,Auditory
31,Adult 30+,Other,PhD,Evening,Exams,English,3,4,5,1,1,5,2,3,1,3,2,2,5,4,3,Auditory
36,Adult 30+,Female,PhD,Evening,Hobby,Other,4,3,5,5,2,2,4,5,3,4,4,4,2,3,5,Kinesthetic
12,Child,Other,Primary School,Evening,Hobby,Gujarati,5,1,1,3,3,4,1,5,5,1,2,5,5,3,1,Visual
36,Adult 30+,Other,High School,Evening,Exams,Hindi,4,2,1,1,5,2,3,2,3,5,2,5,3,3,4,Visual
10,Child,Male,Postgraduate,Evening,Career Growth,Gujarati,4,4,2,5,2,5,1,1,3,4,1,1,4,3,1,Auditory
8,Child,Other,Undergraduate,Night,Exams,Gujarati,2,1,5,5,3,2,2,5,4,3,1,5,2,2,5,Kinesthetic
9,Child,Male,Postgraduate,Morning,Skill Development,Gujarati,4,3,1,3,4,4,1,2,4,1,2,4,4,2,3,Visual
9,Child,Female,PhD,Night,Career Growth,Hindi,1,5,1,1,3,5,2,4,2,3,1,3,2,3,4,Auditory
14,Teen,Other,PhD,Morning,Skill Development,Hindi,5,3,5,5,5,1,2,1,3,1,2,2,4,3,2,Visual
32,Adult 30+,Other,Undergraduate,Evening,Career Growth,Hindi,2,2,2,5,2,3,2,4,2,2,4,5,2,2,5,Kinesthetic
11,Child,Female,Primary School,Afternoon,Exams,Hindi,5,2,4,3,4,1,1,3,5,5,5,2,5,2,2,Visual
10,Child,Other,Primary School,Evening,Hobby,Hindi,3,2,5,5,2,1,5,5,2,5,3,2,4,1,1,Read/Write
37,Adult 30+,Female,PhD,Afternoon,Career Growth,Hindi,1,3,1,4,2,3,2,1,5,5,5,2,4,5,2,Auditory
38,Adult 30+,Other,Postgraduate,Morning,Career Growth,Hindi,2,3,5,4,1,3,1,4,5,2,2,5,5,1,3,Kinesthetic
20,Young Adult,Other,Undergraduate,Night,Exams,Other,1,2,5,4,1,3,3,4,2,5,3,4,2,2,5,Kinesthetic
18,Teen,Female,PhD,Evening,Hobby,Gujarati,2,1,4,1,3,5,5,3,2,1,3,2,2,4,1,Read/Write
21,Young Adult,Male,Primary School,Afternoon,Skill Development,Other,3,5,5,2,3,3,4,3,5,1,3,1,2,4,4,Read/Write
30,Adult 30+,Male,Undergraduate,Night,Skill Development,Gujarati,3,5,3,4,2,2,1,4,2,3,1,5,1,5,4,Kinesthetic
10,Child,Male,Primary School,Morning,Skill Development,Gujarati,2,4,2,3,5,3,3,4,3,4,1,5,1,2,4,Kinesthetic
19,Teen,Other,Primary School,Evening,Hobby,English,3,5,1,5,3,1,1,4,1,1,4,4,2,1,4,Kinesthetic
23,Young Adult,Other,Undergraduate,Evening,Exams,Other,4,4,1,2,5,1,3,1,5,1,1,2,3,2,3,Visual
19,Teen,Other,Undergraduate,Morning,Hobby,Gujarati,5,2,1,2,4,4,2,4,4,2,2,2,3,2,1,Visual
16,Teen,Other,High School,Night,Hobby,Other,4,1,1,2,5,1,3,1,5,3,4,1,3,4,1,Visual
20,Young Adult,Male,Postgraduate,Night,Skill Development,English,2,5,2,4,1,4,3,3,5,4,3,1,2,4,2,Auditory
16,Teen,Male,Postgraduate,Afternoon,Career Growth,Other,5,5,5,2,2,5,2,3,3,5,1,2,5,5,1,Auditory
7,Child,Male,Undergraduate,Morning,Exams,Hindi,1,3,3,4,2,1,2,5,1,1,2,5,2,2,3,Kinesthetic
15,Teen,Other,High School,Morning,Career Growth,English,4,1,5,5,5,1,2,1,3,4,1,2,3,1,2,Visual
19,Teen,Other,Primary School,Night,Career Growth,Hindi,5,2,2,3,3,4,3,4,1,3,2,4,4,1,4,Kinesthetic
24,Young Adult,Male,PhD,Afternoon,Hobby,Other,3,5,1,5,4,3,5,3,3,5,1,5,2,2,5,Kinesthetic
28,Young Adult,Male,Undergraduate,Afternoon,Hobby,Other,2,2,3,5,5,1,4,5,1,2,4,4,5,2,5,Kinesthetic
14,Teen,Female,PhD,Morning,Skill Development,Hindi,2,2,5,3,2,3,4,1,2,2,5,2,2,2,2,Read/Write
23,Young Adult,Male,High School,Night,Career Growth,Hindi,2,1,2,3,1,3,5,3,1,2,4,5,1,1,5,Kinesthetic
10,Child,Other,Postgraduate,Evening,Hobby,Hindi,2,4,5,4,2,3,3,3,5,1,3,4,3,2,3,Kinesthetic
28,Young Adult,Male,PhD,Night,Skill Development,English,2,3,5,2,1,5,4,1,5,2,3,2,1,2,5,Read/Write
16,Teen,Other,Undergraduate,Night,Hobby,Hindi,5,3,5,5,1,4,1,5,1,1,1,3,1,1,3,Kinesthetic
29,Young Adult,Other,High School,Morning,Skill Development,Other,4,1,5,2,5,1,4,2,5,2,3,1,5,2,3,Visual
37,Adult 30+,Male,Primary School,Morning,Exams,Hindi,1,3,2,3,3,3,5,5,1,2,3,5,3,1,5,Kinesthetic
17,Teen,Other,Postgraduate,Night,Hobby,Hindi,2,5,1,4,2,4,1,3,3,5,2,2,5,3,3,Auditory
35,Adult 30+,Male,High School,Evening,Hobby,English,1,2,3,1,1,1,5,3,2,5,4,3,3,3,1,Read/Write
21,Young Adult,Other,PhD,Evening,Career Growth,Gujarati,5,1,3,3,5,1,3,1,4,2,2,3,5,3,2,Visual
12,Child,Other,Primary School,Evening,Exams,English,5,1,5,5,2,3,4,1,2,2,4,1,2,4,1,Read/Write
38,Adult 30+,Female,Primary School,Morning,Skill Development,Hindi,1,1,4,5,2,5,3,4,5,3,1,3,2,5,5,Kinesthetic
40,Adult 30+,Male,High School,Afternoon,Hobby,Hindi,4,2,1,4,4,4,1,2,5,2,4,3,5,2,1,Visual
36,Adult 30+,Female,Postgraduate,Night,Skill Development,English,5,4,5,2,2,3,2,3,1,4,1,4,3,5,3,Auditory
13,Teen,Other,PhD,Evening,Skill Development,Gujarati,4,4,1,4,3,1,3,1,5,2,2,2,4,5,4,Visual
29,Young Adult,Female,Primary School,Afternoon,Exams,Hindi,1,3,3,3,2,4,2,2,5,5,3,2,3,5,2,Auditory
39,Adult 30+,Female,Primary School,Afternoon,Career Growth,Gujarati,4,1,4,3,5,2,4,5,5,1,1,1,5,4,2,Visual
26,Young Adult,Male,Undergraduate,Morning,Hobby,English,2,1,5,5,2,3,3,5,1,5,3,5,1,3,1,Read/Write
15,Teen,Female,Undergraduate,Night,Exams,Hindi,5,3,2,2,4,4,4,2,5,3,2,3,5,2,2,Visual
18,Teen,Female,Postgraduate,Morning,Exams,English,4,2,1,2,4,1,5,3,4,2,2,2,5,2,2,Visual
19,Teen,Male,Postgraduate,Evening,Skill Development,Gujarati,3,5,2,2,5,5,5,1,3,4,1,2,4,4,3,Auditory
39,Adult 30+,Female,Undergraduate,Night,Skill Development,Gujarati,4,4,1,2,5,2,2,4,5,1,5,1,4,1,1,Visual
11,Child,Male,High School,Afternoon,Career Growth,Other,2,5,2,1,4,4,1,1,3,5,3,3,1,3,1,Auditory
15,Teen,Male,Undergraduate,Night,Career Growth,English,5,2,3,1,5,1,1,3,3,4,4,4,5,2,3,Visual
12,Child,Other,Undergraduate,Evening,Career Growth,Hindi,1,3,2,1,5,5,2,3,2,5,1,1,2,4,1,Auditory
38,Adult 30+,Other,PhD,Afternoon,Skill Development,English,5,2,2,5,2,4,1,3,3,1,3,3,1,3,4,Kinesthetic
13,Teen,Female,Postgraduate,Morning,Exams,Hindi,2,4,3,2,5,4,1,2,3,4,1,2,5,3,1,Auditory
18,Teen,Male,PhD,Night,Hobby,Other,2,3,4,4,1,4,1,1,2,5,1,5,1,3,2,Auditory
40,Adult 30+,Female,Postgraduate,Afternoon,Career Growth,Other,1,2,4,4,4,2,3,4,1,3,1,3,2,5,4,Kinesthetic
19,Teen,Other,Undergraduate,Morning,Skill Development,Hindi,3,4,2,5,2,3,2,1,4,4,2,2,3,3,1,Auditory
21,Young Adult,Male,Primary School,Evening,Exams,Other,1,1,3,4,1,2,1,5,2,2,1,4,3,5,4,Kinesthetic
19,Teen,Other,Postgraduate,Afternoon,Career Growth,Gujarati,3,3,5,2,3,2,5,2,3,1,5,2,4,4,2,Read/Write
21,Young Adult,Female,PhD,Afternoon,Career Growth,English,2,2,2,5,3,3,1,3,1,1,1,5,3,2,5,Kinesthetic
23,Young Adult,Male,Undergraduate,Afternoon,Career Growth,Gujarati,2,5,2,1,3,5,2,3,3,3,1,1,1,5,1,Auditory
36,Adult 30+,Other,Primary School,Evening,Exams,Hindi,1,1,1,4,1,2,1,4,2,2,1,3,5,1,4,Kinesthetic
33,Adult 30+,Other,Postgraduate,Afternoon,Exams,Gujarati,2,2,5,4,3,3,5,1,2,1,5,1,3,4,1,Read/Write
8,Child,Male,PhD,Morning,Skill Development,Gujarati,3,3,2,1,5,5,3,2,3,1,1,1,5,2,2,Visual
36,Adult 30+,Male,High School,Morning,Skill Development,Gujarati,3,2,2,5,2,1,1,5,2,1,1,5,2,1,5,Kinesthetic
37,Adult 30+,Male,PhD,Evening,Skill Development,English,2,3,1,5,1,3,2,3,2,1,1,3,4,3,3,Kinesthetic
18,Teen,Other,Primary School,Evening,Career Growth,Other,1,2,5,5,1,1,2,4,2,3,1,3,3,3,4,Kinesthetic
35,Adult 30+,Other,High School,Night,Career Growth,English,5,2,3,1,3,2,4,2,2,1,5,1,3,1,4,Read/Write
19,Teen,Other,Undergraduate,Afternoon,Skill Development,English,3,3,1,3,1,3,5,5,1,3,1,5,2,1,5,Kinesthetic
38,Adult 30+,Male,Primary School,Evening,Career Growth,Gujarati,5,2,1,3,5,1,1,1,3,3,3,1,3,2,4,Visual
8,Child,Female,High School,Afternoon,Exams,Gujarati,1,2,4,3,2,4,3,2,1,4,3,3,3,4,1,Read/Write
36,Adult 30+,Female,Primary School,Afternoon,Exams,English,2,4,4,4,4,4,1,2,1,5,1,1,1,5,5,Auditory
15,Teen,Other,High School,Afternoon,Hobby,Hindi,2,3,5,2,1,1,3,1,4,3,4,2,2,3,2,Read/Write
13,Teen,Female,Postgraduate,Evening,Skill Development,English,2,1,5,1,1,1,3,2,2,5,3,1,1,4,5,Read/Write
33,Adult 30+,Female,High School,Evening,Career Growth,Other,4,4,3,2,3,1,3,3,5,1,1,5,5,2,2,Visual
15,Teen,Male,Primary School,Morning,Skill Development,Gujarati,2,4,1,2,1,3,4,2,1,4,2,4,2,5,1,Auditory
12,Child,Male,Postgraduate,Morning,Skill Development,Hindi,1,4,1,2,1,4,1,4,4,5,2,1,3,5,4,Auditory
25,Young Adult,Male,PhD,Morning,Career Growth,Other,4,3,1,3,5,2,2,4,4,4,4,1,5,3,1,Visual
36,Adult 30+,Other,PhD,Evening,Skill Development,Hindi,4,2,2,1,5,3,2,1,3,4,4,1,4,1,1,Visual
12,Child,Female,Undergraduate,Night,Exams,Gujarati,2,4,1,2,3,4,3,3,3,3,1,2,1,5,1,Auditory
16,Teen,Other,Postgraduate,Night,Career Growth,English,3,4,5,4,4,1,1,5,2,5,5,4,3,1,5,Kinesthetic
31,Adult 30+,Male,PhD,Evening,Hobby,Gujarati,3,3,4,4,1,2,4,5,1,1,2,5,3,3,5,Kinesthetic
39,Adult 30+,Female,Postgraduate,Afternoon,Exams,Hindi,3,3,3,1,4,3,1,5,5,1,2,2,5,1,2,Visual
39,Adult 30+,Male,Undergraduate,Afternoon,Hobby,Other,1,2,1,3,1,1,3,3,5,4,1,3,2,4,3,Kinesthetic
26,Young Adult,Female,Primary School,Evening,Exams,Other,2,1,4,5,1,1,2,5,4,1,2,5,1,3,5,Kinesthetic
37,Adult 30+,Other,Primary School,Morning,Skill Development,Hindi,2,4,3,4,1,5,2,3,2,4,4,2,1,5,2,Auditory
21,Young Adult,Other,Primary School,Night,Exams,Hindi,2,5,4,3,2,4,5,2,1,5,5,3,3,4,2,Auditory
32,Adult 30+,Other,Postgraduate,Afternoon,Exams,Other,3,1,4,2,3,2,3,2,1,2,5,1,5,3,2,Read/Write
12,Child,Female,PhD,Morning,Exams,English,1,5,2,3,2,3,2,1,2,4,2,2,3,4,1,Auditory
21,Young Adult,Female,Undergraduate,Afternoon,Exams,Gujarati,3,2,3,1,5,1,4,4,1,2,3,5,1,2,2,Read/Write
37,Adult 30+,Other,Primary School,Evening,Exams,Hindi,4,4,1,1,3,5,1,1,3,5,5,1,1,4,1,Auditory
8,Child,Female,Undergraduate,Afternoon,Skill Development,Gujarati,5,2,1,4,2,2,1,4,4,5,3,3,1,5,4,Kinesthetic
14,Teen,Female,High School,Afternoon,Skill Development,Hindi,2,1,1,4,2,2,4,5,4,2,3,5,4,4,5,Kinesthetic
21,Young Adult,Other,Undergraduate,Evening,Skill Development,Hindi,2,4,4,1,1,4,5,2,1,1,5,4,2,2,2,Read/Write
9,Child,Other,PhD,Afternoon,Hobby,Hindi,1,4,1,3,1,5,2,3,5,2,5,5,2,2,4,Kinesthetic
32,Adult 30+,Male,Postgraduate,Morning,Career Growth,Other,4,2,4,2,5,1,2,3,5,4,2,1,3,1,2,Visual
23,Young Adult,Male,Undergraduate,Afternoon,Career Growth,Other,3,2,5,2,2,1,5,1,3,2,3,5,2,1,2,Read/Write
34,Adult 30+,Male,High School,Night,Career Growth,English,4,5,2,3,1,5,1,3,3,3,3,1,2,4,3,Auditory
17,Teen,Female,Primary School,Night,Hobby,Hindi,1,2,4,4,2,5,4,2,3,1,3,1,1,2,2,Read/Write
22,Young Adult,Male,High School,Evening,Exams,English,1,1,5,5,2,3,3,3,3,2,2,4,2,1,4,Kinesthetic
15,Teen,Female,Undergraduate,Night,Hobby,Gujarati,5,1,2,4,1,1,2,4,2,3,3,3,1,3,3,Kinesthetic
26,Young Adult,Male,Postgraduate,Evening,Skill Development,Other,5,2,1,4,5,2,2,1,3,1,1,1,4,2,3,Visual
30,Adult 30+,Female,Undergraduate,Evening,Exams,Other,4,3,1,4,2,1,1,3,1,2,3,4,2,2,5,Kinesthetic
33,Adult 30+,Female,Undergraduate,Afternoon,Skill Development,Other,3,5,2,3,1,4,2,1,2,4,2,2,2,5,2,Auditory
20,Young Adult,Male,High School,Afternoon,Career Growth,Gujarati,2,5,4,3,2,1,4,3,2,3,5,3,2,3,1,Read/Write
20,Young Adult,Male,Postgraduate,Night,Career Growth,Gujarati,4,1,5,3,2,5,5,2,1,2,3,2,3,2,3,Read/Write
15,Teen,Other,High School,Night,Exams,English,2,1,4,1,5,1,4,1,3,2,5,4,5,3,1,Read/Write
28,Young Adult,Female,High School,Night,Skill Development,Gujarati,4,5,1,3,4,4,4,5,4,2,1,1,3,2,1,Visual
